Codigo_Cliente,Tipo_De_Persona,Segmento,Edad,Zona,Sexo,Limite_TC
10.0,N,Clasico,36.0,Norte,F,50000.0
22.0,N,Emergente,54.0,Metropolitana,F,84000.0
51.0,N,Clasico,56.0,Norte,F,72000.0
59.0,N,Preferencial,49.0,Norte,M,100000.0
60.0,N,Emergente,57.0,Norte,M,248000.0
67.0,N,Preferencial,62.0,Norte,F,400000.0
68.0,N,Preferencial,53.0,Metropolitana,F,400000.0
80.0,N,Preferencial,71.0,Norte,M,400000.0
89.0,N,Preferencial,59.0,Norte,M,400000.0
97.0,N,Preferencial,60.0,Norte,M,1152000.0
142.0,N,Emergente,50.0,Metropolitana,M,3000.0
149.0,N,Preferencial,61.0,Norte,M,135000.0
151.0,N,Prestige,48.0,Norte,M,400000.0
152.0,N,Preferencial,48.0,Norte,M,198000.0
153.0,N,Emergente,59.0,Norte,M,100000.0
157.0,N,Mi_Negocio,60.0,Norte,M,300000.0
158.0,N,Prestige,61.0,Norte,M,300000.0
163.0,N,Preferencial,62.0,Norte,M,270000.0
165.0,N,Mi_Negocio,61.0,Norte,M,200000.0
176.0,N,Mi_Negocio,63.0,Norte,M,150000.0
184.0,N,Emergente,55.0,Norte,F,80000.0
234.0,N,Prestige,61.0,Metropolitana,F,600000.0
239.0,N,Emergente,82.0,Norte,M,257040.0
266.0,N,Prestige,57.0,Metropolitana,M,500000.0
270.0,N,Mi_Negocio,56.0,Norte,M,500000.0
272.0,N,Mi_Negocio,54.0,Norte,M,500000.0
273.0,N,Prestige,62.0,Norte,M,400000.0
282.0,N,Preferencial,29.0,Metropolitana,M,100000.0
283.0,N,Emergente,25.0,Metropolitana,M,400000.0
286.0,N,Preferencial,61.0,Norte,M,240000.0
290.0,N,Mi_Negocio,53.0,Norte,M,250000.0
300.0,N,Preferencial,54.0,Norte,F,158000.0
322.0,N,Mi_Negocio,48.0,Norte,M,400000.0
324.0,N,Clasico,54.0,Norte,F,25000.0
325.0,N,Preferencial,60.0,Norte,F,400000.0
331.0,N,Prestige,51.0,Norte,F,60000.0
345.0,N,Preferencial,57.0,Norte,M,410000.0
347.0,N,Prestige,59.0,Norte,M,500000.0
357.0,N,Preferencial,69.0,Norte,M,45000.0
359.0,N,Preferencial,51.0,Norte,M,300000.0
